"","X","date_performed","bioassay_performed","biological_rep_number","technical_rep_number","papers_coated_by","performed_by","kd_scored_by","Mort_ScoredBy","X48hr_scored_by","X72hr_scored_by","mosquito_wet_weights_g","mosquito_dry_weights_g","mosquito_wing_lengths","start_exposure_temperature_c","start_exposure_humidity_percentage","end_exposure_temperature_c","end_exposure_humidity_percentage","X24_hour_temperature_c","Mort_Humid_Perc","X48_hour_temperature_c","X48_hour_humidity_percentage","X72_hour_temperature_c","X72_hour_humidity_percentage","colony","insecticide","concentration_percentage","concentration_mgm2","concentration_ugbottle","Knockdown_60min","Mortality_24hr","X48_hour_dead","X72_hour_dead","total_mosquitoes","data_input_checked","bioassay_notes","RawKDProp","RawMortProp","StartHumidProp","EndHumidProp","MortHumidProp","HumidDelta","Alive"
"1",1,"2022-03-09","WHO_tube",1,1,"Not Assesed","jag","jag","jag","jag","jag",0.0274,0.00045,2.974,"NR",NA,"NR",NA,"NR",NA,"NR",NA,NA,NA,"kisumu","silicone oil","negative",NA,NA,0,2,NA,NA,21,NA,NA,0,0.0952380952380952,NA,NA,NA,NA,19
"2",2,"2022-03-09","WHO_tube",1,2,"Not Assesed","jag","jag","jag","jag","jag",0.0274,0.00045,2.974,"NR",NA,"NR",NA,"NR",NA,"NR",NA,NA,NA,"kisumu","silicone oil","negative",NA,NA,0,0,NA,NA,21,NA,NA,0,0,NA,NA,NA,NA,21
"3",3,"2022-03-09","WHO_tube",1,1,"Not Assesed","jag","jag","jag","jag","jag",0.0274,0.00045,2.974,"NR",NA,"NR",NA,"NR",NA,"NR",NA,NA,NA,"kisumu","permethrin","4.2999999999999997E-2",NA,NA,13,13,NA,NA,16,NA,NA,0.8125,0.8125,NA,NA,NA,NA,3
"4",4,"2022-03-09","WHO_tube",1,2,"Not Assesed","jag","jag","jag","jag","jag",0.0274,0.00045,2.974,"NR",NA,"NR",NA,"NR",NA,"NR",NA,NA,NA,"kisumu","permethrin","4.2999999999999997E-2",NA,NA,15,20,NA,NA,25,NA,NA,0.6,0.8,NA,NA,NA,NA,5
"5",5,"2022-03-09","WHO_tube",1,3,"Not Assesed","jag","jag","jag","jag","jag",0.0274,0.00045,2.974,"NR",NA,"NR",NA,"NR",NA,"NR",NA,NA,NA,"kisumu","permethrin","4.2999999999999997E-2",NA,NA,23,23,NA,NA,24,NA,NA,0.958333333333333,0.958333333333333,NA,NA,NA,NA,1
"6",6,"2022-03-09","WHO_tube",1,4,"Not Assesed","jag","jag","jag","jag","jag",0.0274,0.00045,2.974,"NR",NA,"NR",NA,"NR",NA,"NR",NA,NA,NA,"kisumu","permethrin","4.2999999999999997E-2",NA,NA,16,19,NA,NA,22,NA,NA,0.727272727272727,0.863636363636364,NA,NA,NA,NA,3
"7",7,"2022-03-09","WHO_tube",1,5,"Not Assesed","jag","jag","jag","jag","jag",0.0274,0.00045,2.974,"NR",NA,"NR",NA,"NR",NA,"NR",NA,NA,NA,"kisumu","permethrin","4.2999999999999997E-2",NA,NA,18,22,NA,NA,24,NA,NA,0.75,0.916666666666667,NA,NA,NA,NA,2
"8",8,"2022-03-09","WHO_tube",1,6,"Not Assesed","jag","jag","jag","jag","jag",0.0274,0.00045,2.974,"NR",NA,"NR",NA,"NR",NA,"NR",NA,NA,NA,"kisumu","permethrin","4.2999999999999997E-2",NA,NA,20,23,NA,NA,26,NA,NA,0.769230769230769,0.884615384615385,NA,NA,NA,NA,3
"9",9,"2022-03-09","WHO_tube",1,7,"Not Assesed","jag","jag","jag","jag","jag",0.0274,0.00045,2.974,"NR",NA,"NR",NA,"NR",NA,"NR",NA,NA,NA,"kisumu","permethrin","4.2999999999999997E-2",NA,NA,19,15,NA,NA,23,NA,NA,0.826086956521739,0.652173913043478,NA,NA,NA,NA,8
"10",10,"2022-03-09","WHO_tube",1,1,"Not Assesed","jag","gpr","gpr","gpr","gpr",0.0274,0.00045,2.974,"NR",NA,"NR",NA,"NR",NA,"NR",NA,NA,NA,"kisumu","silicone oil","negative",NA,NA,0,2,NA,NA,21,NA,NA,0,0.0952380952380952,NA,NA,NA,NA,19
"11",11,"2022-03-09","WHO_tube",1,2,"Not Assesed","jag","gpr","gpr","gpr","gpr",0.0274,0.00045,2.974,"NR",NA,"NR",NA,"NR",NA,"NR",NA,NA,NA,"kisumu","silicone oil","negative",NA,NA,0,0,NA,NA,21,NA,NA,0,0,NA,NA,NA,NA,21
"12",12,"2022-03-09","WHO_tube",1,1,"Not Assesed","jag","gpr","gpr","gpr","gpr",0.0274,0.00045,2.974,"NR",NA,"NR",NA,"NR",NA,"NR",NA,NA,NA,"kisumu","permethrin","4.2999999999999997E-2",NA,NA,14,16,NA,NA,16,NA,NA,0.875,1,NA,NA,NA,NA,0
"13",13,"2022-03-09","WHO_tube",1,2,"Not Assesed","jag","gpr","gpr","gpr","gpr",0.0274,0.00045,2.974,"NR",NA,"NR",NA,"NR",NA,"NR",NA,NA,NA,"kisumu","permethrin","4.2999999999999997E-2",NA,NA,21,22,NA,NA,25,NA,NA,0.84,0.88,NA,NA,NA,NA,3
