"Date","PaperID","Dead","Alive","TotalMos","ExposureDay","Month","RawMortProp"
"11/07/23",3,9,3,12,1,"July",0.75
"11/07/23",4,16,7,23,1,"July",0.695652173913043
"11/07/23",5,18,6,24,1,"July",0.75
"11/07/23",6,16,6,22,1,"July",0.727272727272727
"11/07/23",7,19,6,25,1,"July",0.76
"11/07/23",8,16,7,23,1,"July",0.695652173913043
"11/07/23",9,14,9,23,1,"July",0.608695652173913
"11/07/23",10,16,10,26,1,"July",0.615384615384615
"11/07/23",11,16,7,23,1,"July",0.695652173913043
"11/07/23",12,21,3,24,1,"July",0.875
"11/07/23",13,20,3,23,1,"July",0.869565217391304
"11/07/23",14,17,6,23,1,"July",0.739130434782609
"11/07/23",15,20,7,27,1,"July",0.740740740740741
"11/07/23",16,17,8,25,1,"July",0.68
"12/07/23",3,16,9,25,2,"July",0.64
"12/07/23",4,15,9,24,2,"July",0.625
"12/07/23",5,17,8,25,2,"July",0.68
"12/07/23",6,12,14,26,2,"July",0.461538461538462
"12/07/23",7,14,9,23,2,"July",0.608695652173913
"12/07/23",8,14,9,23,2,"July",0.608695652173913
"12/07/23",9,16,8,24,2,"July",0.666666666666667
"12/07/23",10,17,8,25,2,"July",0.68
"12/07/23",11,11,12,23,2,"July",0.478260869565217
"12/07/23",12,15,10,25,2,"July",0.6
"12/07/23",13,15,9,24,2,"July",0.625
"12/07/23",14,11,13,24,2,"July",0.458333333333333
"12/07/23",15,13,10,23,2,"July",0.565217391304348
"12/07/23",16,15,10,25,2,"July",0.6
"12/07/23",17,17,8,25,2,"July",0.68
"12/07/23",18,17,8,25,2,"July",0.68
"12/07/23",19,10,12,22,2,"July",0.454545454545455
"12/07/23",20,20,3,23,2,"July",0.869565217391304
"12/07/23",21,18,6,24,2,"July",0.75
"13/07/23",3,14,11,25,3,"July",0.56
"13/07/23",4,10,14,24,3,"July",0.416666666666667
"13/07/23",5,13,10,23,3,"July",0.565217391304348
"13/07/23",6,13,11,24,3,"July",0.541666666666667
"13/07/23",7,11,14,25,3,"July",0.44
"13/07/23",8,14,11,25,3,"July",0.56
"13/07/23",9,10,14,24,3,"July",0.416666666666667
"13/07/23",10,18,8,26,3,"July",0.692307692307692
"13/07/23",11,13,12,25,3,"July",0.52
"13/07/23",12,18,7,25,3,"July",0.72
"13/07/23",13,13,10,23,3,"July",0.565217391304348
"13/07/23",14,15,5,20,3,"July",0.75
"13/07/23",15,18,7,25,3,"July",0.72
"13/07/23",16,14,10,24,3,"July",0.583333333333333
"13/07/23",17,17,10,27,3,"July",0.62962962962963
"13/07/23",18,15,8,23,3,"July",0.652173913043478
"13/07/23",19,12,12,24,3,"July",0.5
"13/07/23",20,17,7,24,3,"July",0.708333333333333
"13/07/23",21,16,10,26,3,"July",0.615384615384615
"18/07/23",3,7,17,24,4,"July",0.291666666666667
"18/07/23",4,16,10,26,4,"July",0.615384615384615
"18/07/23",5,14,10,24,4,"July",0.583333333333333
"18/07/23",6,8,17,25,4,"July",0.32
